param n_caps := 26;

param n_unitats := 5;

param ctrl := -1;

param si_unitats :
  0 1 2 3 4 :=
0 2 4 4 0 0 
1 0.5 3.5 6 0 0 
2 2 5 3 0 0 
3 5 3 2 0 0 
4 3 7 0 0 0 
5 3 7 0 0 0 
6 5 2 3 0 0 
7 6 4 0 0 0 
8 2 7 1 0 0 
9 0 5 5 0 0 
10 0 1 9 0 0 
11 0 3 5 2 0 
12 0 0.5 2.5 7 0 
13 0 0 0 5 5 
14 0 0 0 3 7 
15 0 1 0 5 4 
16 0 0 5 5 0 
17 0 0 1 4.5 4.5 
18 0 0 1 9 0 
19 0 4 2 4 0 
20 1 0 0 1 8 
21 2.5 2.5 0 2.5 2.5 
22 1 0 0 4 5 
23 2 4 4 0 0 
24 0 2 0 0 8 
25 2 0 1 3 4 
;

param no_unitats :
  0 1 2 3 4 :=
0 3 3 3 0 0 
1 7 2 1 0 0 
2 5 2 3 0 0 
3 2 3 5 0 0 
4 0 0 4.5 5.5 0 
5 7 3 0 0 0 
6 2 4 4 0 0 
7 0 2 8 0 0 
8 1 0 2 7 0 
9 9 0 0 1 0 
10 9 0 0 1 0 
11 10 0 0 0 0 
12 6 0.5 0 0 3.5 
13 5 5 0 0 0 
14 5 3 2 0 0 
15 4 1 5 0 0 
16 9 1 0 0 0 
17 9 1 0 0 0 
18 4 3 0 0 3 
19 8 0 1 0 1 
20 0 3 7 0 0 
21 0.5 0.5 8 0.5 0.5 
22 1 5 4 0 0 
23 4 3 3 0 0 
24 3.3 0 3.3 3.3 0 
25 2 5 2 1 0 
;

param si_cocaps :
  0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 :=
0 0 0 2 0 0 1 1 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 
1 0 0 1 0 1 2 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 
2 0 0 0 0 0 1 2 0 3 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 
3 1 0 0 0 0 2 2 0 2 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 
4 0 2.8 0 0.5 0 2.4 1 0 3.3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
5 0 1 1 1 1 0 0.5 0 0.5 0 0.5 0.5 0.5 0.5 0 0.5 0.5 1 1 0 0 0 0 0 0 0 
6 0 0 0 0 0 1 0 0 3 0 4 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 
7 0 1.5 0 2 2 0 0 0 0 0 0 0 0 0 1.5 0 0 0 0 1.5 0 0 0 1.5 0 0 
8 0 0.25 0.5 0.5 0 3 1 0 0 0 3 0 0.25 0 0 0 0.5 0 0 0 0 0 0 1 0 0 
9 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 0 2 2 0 0 0 0 0 0 0 
10 0 0 0 0 0 0 1.5 0 1.5 0 0 0 2 0 0 0 5 0 0 0 0 0 0 0 0 0 
11 1 0 2 2 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0 0 
12 0 0 0 0 0 0 0 0 1.5 0 1.5 0.25 0 3 0 0.25 2 0.5 0.5 0 0 0.5 0 0 0 0 
13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 4 0 0 0 0 0 0 0 0 
14 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 1 4 0 1 0 0 0 
15 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 3 0 3 0 1 0 0 0 
16 0.5 0 0 0 0 0 0 0 0 0 5.5 0 3.5 0 0 0 0 0 0 0.5 0 0 0 0 0 0 
17 0 0 0 0 0 0 0 0 0 0 0 0 2 2 2 2 0 0 2 0 0 0 0 0 0 0 
18 0 0 0 0 0 0 0 0 0 0 0 0 0 2.5 0 3 0 2 0 0 2.5 0 0 0 0 0 
19 0 1 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 4 0 1 0 0 0 
20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 2 0 0 0 2 0 0 0 
21 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0.4 0 
